gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
17,73.30655980110168,-159.30263011143188,8.127294341981905,-13.266669328139164,4cd04db4-4df1-4805-9ef9-3923a3260ba8,8.127294341981905,0.02184350299225544,1,5,156,131,5,360,360,914
18,73.37892079353333,-148.60262766061783,8.127294341981905,-11.475044322564575,4cd04db4-4df1-4805-9ef9-3923a3260ba8,8.127294341981905,0.02184350299225544,1,5,156,131,5,360,360,892
19,70.13371109962463,-136.80071896460586,49.96927700330113,-11.035814944877927,2ef38f20-1fa0-4099-99cd-72eabdd96069,49.96927700330113,7.001022847922813,1,2,119,50,2,360,360,881
20,72.85908770561218,-148.50462608877896,49.96927700330113,-12.492692910640272,2ef38f20-1fa0-4099-99cd-72eabdd96069,49.96927700330113,7.001022847922813,1,2,119,50,2,360,360,983
21,49.73594665527344,-147.80189479774728,49.96927700330113,-31.89439860452857,2ef38f20-1fa0-4099-99cd-72eabdd96069,49.96927700330113,7.001022847922813,1,2,119,50,2,360,360,1175
22,73.46858787536621,-137.14277251285864,49.96927700330113,-11.70534592836117,2ef38f20-1fa0-4099-99cd-72eabdd96069,49.96927700330113,7.001022847922813,1,2,119,50,2,360,360,1023
23,69.86313915252686,-148.5836200078025,49.96927700330113,-10.48203885842153,2ef38f20-1fa0-4099-99cd-72eabdd96069,49.96927700330113,7.001022847922813,1,2,119,50,2,360,360,1119
24,73.30885744094849,-147.80870193805168,57.30677166106325,-8.513588189324977,77419293-1682-47d9-83b2-db49db931067,57.30677166106325,10.100529786058772,1,3,124,66,3,360,360,1101
25,68.40354919433594,-141.25336453113513,60.00950306878606,-9.83991655752912,392647ca-9323-4bc6-8ec8-da9a1a290f66,60.00950306878606,16.325038720254497,1,2,119,50,2,360,360,1174
26,54.295647859573364,-147.17891833632427,60.00950306878606,-26.285071281645216,392647ca-9323-4bc6-8ec8-da9a1a290f66,60.00950306878606,16.325038720254497,1,2,119,50,2,360,360,1282
27,68.92597341537476,-149.1132196465579,60.00950306878606,-6.7766121387132685,392647ca-9323-4bc6-8ec8-da9a1a290f66,60.00950306878606,16.325038720254497,1,2,119,50,2,360,360,1135
28,74.44005966186523,-146.66023505728418,60.00950306878606,-1.0249384622854634,392647ca-9323-4bc6-8ec8-da9a1a290f66,60.00950306878606,16.325038720254497,1,2,119,50,2,360,360,1043
29,74.90495419502258,-139.20991118197085,60.00950306878606,2.582398680082957,392647ca-9323-4bc6-8ec8-da9a1a290f66,60.00950306878606,16.325038720254497,1,2,119,50,2,360,360,1012
30,67.54511594772339,-138.25378063167258,60.00950306878606,1.6339179128895063,392647ca-9323-4bc6-8ec8-da9a1a290f66,60.00950306878606,16.325038720254497,1,2,119,50,2,360,360,899
31,55.14602017402649,-147.95633966553626,60.00950306878606,-16.21314163261905,392647ca-9323-4bc6-8ec8-da9a1a290f66,60.00950306878606,16.325038720254497,1,2,119,50,2,360,360,925
