gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners,hh_learners_removed,hh_teams_affected,b_teams,b_learners,b_teams_new,b_learners_new
6808,38.725283861160285,-125.09085283044224,278.409764880068,90.66165179869141, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,260,364,1284,-1,-1,11,589,9,71
6809,55.15607166290283,-133.60614759858586,278.409764880068,150.437883239916, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,271,363,1178,-1,-1,7,589,5,71
6810,56.538344144821174,-117.8126365035696,278.409764880068,151.0865714271839, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,273,361,1176,-1,-1,6,589,4,71
6811,59.32151222229004,-132.2257535784056,278.409764880068,147.48601645487392, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,281,363,1179,-1,-1,6,589,4,71
6812,64.55668091773987,-128.01421901607577,278.409764880068,144.73547010236783, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,279,361,1170,-1,-1,7,589,5,71
6813,46.96325135231018,-169.9520302975096,278.409764880068,98.54278671857928, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,364,1296,-1,-1,10,589,8,71
6814,50.62191414833069,-133.95446249965988,278.409764880068,137.63295401194344, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,275,363,1175,-1,-1,6,589,4,71
6815,59.46311688423157,-123.98731982627714,278.409764880068,146.40125878552783, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,278,361,1165,-1,-1,7,589,5,71
6816,58.36239647865296,-125.29937559319336,278.409764880068,138.9861170527454, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,271,364,1180,-1,-1,11,589,9,71
6817,57.930556058883674,-131.26426286630982,278.409764880068,151.79655564308797, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,277,364,1160,-1,-1,8,589,6,71
6818,34.59710741043091,-131.43942021445844,278.409764880068,86.78541931318445, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,262,362,1305,-1,-1,6,589,4,71
6819,55.625000953674316,-179.885140234499,278.409764880068,147.60368107076627, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,268,362,1196,-1,-1,7,589,5,71
6820,51.198215007781975,-132.75605053447953,278.409764880068,153.01095408457272, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,284,363,1166,-1,-1,9,589,7,71
6821,61.07243800163269,-122.43309947162176,278.409764880068,146.62849354782156, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,277,363,1176,-1,-1,7,589,5,71
6822,58.94827675819397,-124.94852865732142,278.409764880068,142.36881149054017, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,277,362,1184,-1,-1,7,589,5,71
6823,38.49644994735718,-127.33440435745928,278.409764880068,89.65034791656423, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,268,363,1278,-1,-1,6,589,4,71
6824,46.952664375305176,-163.63302916251547,278.409764880068,128.74672802696614, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,271,361,1197,-1,-1,7,589,5,71
6825,59.27439522743225,-123.67293262417351,278.409764880068,149.15042380135773, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,279,364,1172,-1,-1,8,589,6,71
6826,53.97608757019043,-130.62556059207208,278.409764880068,153.92087363181682, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,277,362,1183,-1,-1,5,589,3,71
6827,64.56679654121399,-147.0736846750236,278.409764880068,150.0178378947223, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,277,361,1184,-1,-1,7,589,5,71
6828,39.26330542564392,-170.4718666457224,278.409764880068,87.05686924573412, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,260,363,1299,-1,-1,9,589,7,71
6829,59.18410062789917,-120.8781197662857,278.409764880068,157.8028569888829, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,273,363,1180,-1,-1,6,589,4,71
6830,52.128552198410034,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,-1,-1,5,589,3,71
6831,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6832,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
6833,0.0,-128.789322267481,278.409764880068,131.54838867245192, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,265,361,1191,0,0,5,589,0,0
