gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
31,54.10950016975403,-119.00705589434764,7.196274347732881,-23.94098626465695,9b0914ac-8ec7-45e3-add4-7991692594c1,7.196274347732881,0.09621710452363501,1,2,80,19,2,360,360,823
32,73.02231931686401,-114.14903982040214,7.299691906061815,-4.220457853972291,7df8ce4b-dd61-432c-b5de-8aeef482b621,7.299691906061815,0.11117711709043326,1,2,78,16,2,360,360,660
33,73.61883854866028,-118.39933220719445,7.299691906061815,-5.777967728002568,7df8ce4b-dd61-432c-b5de-8aeef482b621,7.299691906061815,0.11117711709043326,1,2,78,16,2,360,360,650
34,72.65423107147217,-116.34449844382762,7.441890742289783,-4.4619285658312,87b1e3c4-ad18-4057-9f14-8c49ea14d69c,7.441890742289783,0.15787846093098523,1,3,127,23,3,360,360,631
35,73.39440655708313,-116.97468070753162,7.441890742289783,-6.761830076261555,87b1e3c4-ad18-4057-9f14-8c49ea14d69c,7.441890742289783,0.15787846093098523,1,3,127,23,3,360,360,620
36,55.64672327041626,-118.31133741495236,7.441890742289783,-22.59400988048193,87b1e3c4-ad18-4057-9f14-8c49ea14d69c,7.441890742289783,0.15787846093098523,1,3,127,23,3,360,360,765
37,77.12032771110535,-116.62613121774821,7.441890742289783,-2.9569006047303903,87b1e3c4-ad18-4057-9f14-8c49ea14d69c,7.441890742289783,0.15787846093098523,1,3,127,23,3,360,360,615
38,73.5034670829773,-114.5206455362098,7.584255670051237,-3.7003147206691116,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,623
39,67.50469875335693,-117.42789017772081,7.584255670051237,-7.109276888798926,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,636
40,73.22875833511353,-117.94068973829262,7.584255670051237,-5.326093512609455,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,627
41,57.38688063621521,-120.56594028447371,7.584255670051237,-21.673814228108025,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,790
42,74.03772068023682,-118.0327995502752,7.584255670051237,-3.7019573384776665,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,622
43,72.4485821723938,-118.46475200219064,7.584255670051237,-5.2750544750113315,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,618
44,74.84044361114502,-118.31885376924677,7.584255670051237,-4.345518867257119,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,634
45,73.71949553489685,-118.1355678018568,7.584255670051237,-3.7543793165716743,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,658
46,56.22553467750549,-117.72997810195895,7.584255670051237,-20.725424796564763,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,870
47,67.70720100402832,-118.25256048516607,7.584255670051237,-6.734435003634033,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,708
48,77.72709941864014,-118.27125982596085,7.584255670051237,-3.639959575227327,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,696
49,72.10714221000671,-117.83728968628373,7.584255670051237,-5.942281649998184,adabc33d-5e70-459d-bf26-e3f075ded593,7.584255670051237,0.1728193377095435,1,3,127,23,3,360,360,720
50,73.55851531028748,-118.20903254220309,7.594317074892906,-6.855875881173265,4e7e318b-8a0f-4895-ad2a-b10f350b948a,7.594317074892906,0.22280177240332605,1,4,176,26,4,360,360,715
51,51.16682291030884,-118.30803894629173,7.594317074892906,-25.52201790118903,4e7e318b-8a0f-4895-ad2a-b10f350b948a,7.594317074892906,0.22280177240332605,1,4,176,26,4,360,360,891
52,67.51340675354004,-117.3955927298924,7.594317074892906,-5.493057108538992,4e7e318b-8a0f-4895-ad2a-b10f350b948a,7.594317074892906,0.22280177240332605,1,4,176,26,4,360,360,738
53,72.41518950462341,-117.33381324439878,7.594317074892906,-7.180165354827313,4e7e318b-8a0f-4895-ad2a-b10f350b948a,7.594317074892906,0.22280177240332605,1,4,176,26,4,360,360,738
54,68.67537474632263,-119.86262084746264,7.6011394411305275,-8.132621299026999,19ff14a5-d333-42c2-b815-0cff7664f019,7.6011394411305275,0.0625136822253213,1,3,123,17,3,360,360,750
55,66.9355719089508,-117.62765660098425,7.6011394411305275,-9.746160520956447,19ff14a5-d333-42c2-b815-0cff7664f019,7.6011394411305275,0.0625136822253213,1,3,123,17,3,360,360,782
56,47.1258270740509,-118.12529297102272,7.6011394411305275,-26.428043670474764,19ff14a5-d333-42c2-b815-0cff7664f019,7.6011394411305275,0.0625136822253213,1,3,123,17,3,360,360,963
57,71.39951705932617,-119.45830364079947,7.791856406317521,-8.675517593133478,1244b0ca-9c73-4245-9eab-09f3bfce19e9,7.791856406317521,0.196265288545272,1,3,126,24,3,360,360,796
58,67.2758936882019,-116.24423528018784,7.791856406317521,-9.02164482880513,1244b0ca-9c73-4245-9eab-09f3bfce19e9,7.791856406317521,0.196265288545272,1,3,126,24,3,360,360,812
59,68.36369204521179,-116.86654320994637,7.791856406317521,-8.64732396163261,1244b0ca-9c73-4245-9eab-09f3bfce19e9,7.791856406317521,0.196265288545272,1,3,126,24,3,360,360,820
60,64.78864359855652,-116.39800820627602,7.791856406317521,-14.132315215414916,1244b0ca-9c73-4245-9eab-09f3bfce19e9,7.791856406317521,0.196265288545272,1,3,126,24,3,360,360,833
61,48.19758462905884,-123.17297721115392,7.791856406317521,-26.02144885906305,1244b0ca-9c73-4245-9eab-09f3bfce19e9,7.791856406317521,0.196265288545272,1,3,126,24,3,360,360,989
62,69.05260419845581,-137.4693951693042,7.791856406317521,-10.73145338100213,1244b0ca-9c73-4245-9eab-09f3bfce19e9,7.791856406317521,0.196265288545272,1,3,126,24,3,360,360,851
63,68.84542536735535,-117.52054587197696,7.791856406317521,-9.34604831321316,1244b0ca-9c73-4245-9eab-09f3bfce19e9,7.791856406317521,0.196265288545272,1,3,126,24,3,360,360,870
